Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.048438,0.21865,0.114286,0.0356922,0.248447,0.706387,0.300852,0.188916,0.700293,0.0557235,0.161737,0.0770617,0.453234,0.00332423,0.0430763,0.55707,0
0.140486,0.205788,0.217143,0.0266059,0.385093,0.423748,0.213766,0.186461,0.195977,0.345343,0.227705,0.290465,0.271552,0.00417772,0,0.449744,0
0.0126079,0.215434,0.137143,0.0237975,0.360248,0.411436,0.201701,0.147999,0.0582769,0.197218,0.184431,0.283283,0.251958,0.0308045,0.00406455,0.449744,0
0.0685944,0.228296,0.114286,0.00841439,0.242236,0.714839,0.302806,0.182545,0.671703,0.0822585,0.153036,0.10515,0.458243,0.0205309,0.0085276,0.55707,0
0.0201726,0.241158,0.177143,0.0606412,0.347825,0.412971,0.204384,0.17508,0.162697,0.262683,0.228736,0.274864,0.259297,0.0158454,0.01052,0.90971,0
0.236074,0.205788,0.2,0.037622,0.360248,0.426682,0.12818,0.0940313,0,0.122923,0.0834576,0.336085,0.244413,0.0241351,0,0.449744,1
0.149349,0.21865,0.194286,0.0677888,0.360248,0.416569,0.155476,0.114595,0.0230088,0.171515,0.117459,0.304382,0.244523,0.00902112,0,0.449744,1
0.305528,0.212219,0.24,0.0908936,0.37267,0.434568,0.10758,0.0536076,0,0.0878866,0.0546955,0.333704,0.23998,0.00213663,0,0.449744,1
0.0637915,0.215434,0.114286,0.00841439,0.242236,0.675894,0.302927,0.198645,0.778955,0.021228,0.182475,0.060143,0.436345,0.00329839,0,0.241908,0
0.100389,0.212219,0.114286,0.0188143,0.242236,0.652111,0.30439,0.16887,0.853086,0.090219,0.202768,0.103317,0.422339,0.00329839,0,0.241908,0
0.0923394,0.21865,0.114286,0.0504659,0.291925,0.512236,0.311411,0.027431,0.481985,0.546621,0.228301,0.370671,0.33747,0.00284879,0,0.465077,0
0.138779,0.221865,0.188571,0.0475819,0.341615,0.445245,0.244521,0.134215,0.258872,0.448473,0.229766,0.303523,0.291647,0.00275714,0,0.449744,0
0.0650744,0.212219,0.114286,0.0118996,0.242236,0.676115,0.303846,0.196789,0.774634,0.0185745,0.181027,0.0618245,0.436502,0.00329839,0,0.241908,0
0.0453885,0.209003,0.131429,0.0303343,0.279503,0.553078,0.331432,0.0100506,0.634279,0.398025,0.237034,0.251522,0.362972,0.00867345,0,0.465077,0
0.217529,0.21865,0.211429,0.059465,0.372671,0.429474,0.228915,0.159891,0.237459,0.385306,0.230796,0.29085,0.279605,0.00227093,0.00920502,0.449744,1
